"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards"
"206","wellsow01",1975,"Owen Wells",24,"HOU","SF",33,NA,214,42,100,0.42,15,22,0.682,12,23,35,22,9,3,38,99,0,""
"207","catchha01",1975,"Harvey Catchings",23,"PHI","C",37,0,528,41,74,0.554,16,25,0.64,49,104,153,21,10,60,82,98,0,""
"208","hummejo01",1975,"John Hummer",26,"SEA","PF",43,NA,568,41,108,0.38,14,51,0.275,28,76,104,38,8,7,63,96,0,""
"209","kosmale01",1975,"Len Kosmalski",23,"KCO","C",67,NA,413,33,83,0.398,24,29,0.828,31,88,119,41,6,6,64,90,0,""
"210","bridgbi01",1975,"Bill Bridges",35,"2TM","PF",32,NA,415,35,93,0.376,17,34,0.5,64,70,134,31,11,5,65,87,0,""
"211","benbole01",1975,"Leon Benbow",24,"CHI","SG",39,1,252,35,94,0.372,15,18,0.833,14,24,38,25,11,6,41,85,0,""
"212","wittelu01",1975,"Luke Witte",24,"CLE","C",39,NA,271,33,96,0.344,19,31,0.613,38,54,92,15,4,22,42,85,0,""
"213","kendrfr01",1975,"Frank Kendrick",24,"GSW","SF",24,NA,121,31,77,0.403,18,22,0.818,19,17,36,6,11,3,22,80,0,""
"214","eberhal01",1975,"Al Eberhard",22,"DET","SF",34,NA,277,31,85,0.365,17,21,0.81,18,29,47,16,13,1,33,79,0,""
"215","clydebe01",1975,"Ben Clyde",22,"BOS","SF",25,NA,157,31,72,0.431,7,9,0.778,15,26,41,5,5,3,34,69,0,""
"216","leeru01",1975,"Russ Lee",25,"NOJ","SF",15,NA,139,29,76,0.382,7,14,0.5,15,16,31,7,11,3,17,65,0,""
"217","maydo01",1975,"Don May",29,"KCO","SF",29,NA,139,27,54,0.5,10,12,0.833,4,9,13,5,4,2,21,64,0,""
"218","duvalde01",1975,"Dennis DuVal",22,"WSB","PG",37,NA,137,24,65,0.369,12,18,0.667,8,15,23,14,16,2,34,60,0,""
"219","greenla01",1975,"Lamar Green",27,"NOJ","C",15,NA,280,24,70,0.343,9,20,0.45,28,81,109,16,4,5,38,57,0,""
